Commodity,Year,Attribute,Value,Notes
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Fresh-Pounds ,126.6533516,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Processing-Canning-Pounds ,18.58553758,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Processing-Freezing-Pounds ,4.354313801,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Processing-Dried-Pounds ,11.25469668,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Processing-Juice-Pounds ,125.4305019,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Processing-Other process-Pounds ,0.228602541,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Processing-Total processed fruit-Pounds ,159.8536525,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Total fruit-Pounds ,286.5070041,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Vegetables-Fresh-Pounds ,193.1051213,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Vegetables-Processing-Canning-Pounds ,106.8271474,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Vegetables-Processing-Freezing-Pounds ,83.43885404,"Includes asparagus, lima beans, snap beans, broccoli, carrots, cauliflower, sweet corn, green peas, potatoes, spinach and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Vegetables-Processing-Dried-Pounds ,17.52381425,Includes potatoes and onions.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Vegetables-Processing-Potatoes for chips-Pounds ,16.1668608,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Vegetables-Processing-Legumes-Pounds ,8.084084064,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Vegetables-Processing-Total processed vegetables-Pounds ,232.0407606,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Vegetables-Total vegetables-Pounds ,425.1458819,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Total fruit and vegetables-Pounds ,711.6528861,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Fresh-Pounds ,130.2329179,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Processing-Canning-Pounds ,20.10186901,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Processing-Freezing-Pounds ,4.380561293,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Processing-Dried-Pounds ,10.71287299,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Processing-Juice-Pounds ,120.5827486,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Processing-Other process-Pounds ,0.662956958,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Processing-Total processed fruit-Pounds ,156.4410089,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Total fruit-Pounds ,286.6739268,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Vegetables-Fresh-Pounds ,199.0054214,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
