Commodity,Year,Attribute,Value,Notes
"Fluid milk: Total availability, million pounds",1937,Whole milk-Plain-Consumed where produced-Million pounds,10221,
"Fluid milk: Total availability, million pounds",1938,Whole milk-Plain-Consumed where produced-Million pounds,10217,
"Fluid milk: Total availability, million pounds",1939,Whole milk-Plain-Consumed where produced-Million pounds,10303,
"Fluid milk: Total availability, million pounds",1940,Whole milk-Plain-Consumed where produced-Million pounds,10158,
"Fluid milk: Total availability, million pounds",1941,Whole milk-Plain-Consumed where produced-Million pounds,9973,
"Fluid milk: Total availability, million pounds",1942,Whole milk-Plain-Consumed where produced-Million pounds,10027,
"Fluid milk: Total availability, million pounds",1943,Whole milk-Plain-Consumed where produced-Million pounds,9641,
"Fluid milk: Total availability, million pounds",1944,Whole milk-Plain-Consumed where produced-Million pounds,9767,
"Fluid milk: Total availability, million pounds",1945,Whole milk-Plain-Consumed where produced-Million pounds,9487,
"Fluid milk: Total availability, million pounds",1946,Whole milk-Plain-Consumed where produced-Million pounds,9960,
"Fluid milk: Total availability, million pounds",1947,Whole milk-Plain-Consumed where produced-Million pounds,9730,
"Fluid milk: Total availability, million pounds",1948,Whole milk-Plain-Consumed where produced-Million pounds,9104,
"Fluid milk: Total availability, million pounds",1949,Whole milk-Plain-Consumed where produced-Million pounds,8565,
"Fluid milk: Total availability, million pounds",1950,Whole milk-Plain-Consumed where produced-Million pounds,8204,
"Fluid milk: Total availability, million pounds",1951,Whole milk-Plain-Consumed where produced-Million pounds,8164,
"Fluid milk: Total availability, million pounds",1952,Whole milk-Plain-Consumed where produced-Million pounds,7974,
"Fluid milk: Total availability, million pounds",1953,Whole milk-Plain-Consumed where produced-Million pounds,7440,
"Fluid milk: Total availability, million pounds",1954,Whole milk-Plain-Consumed where produced-Million pounds,7001,
"Fluid milk: Total availability, million pounds",1955,Whole milk-Plain-Consumed where produced-Million pounds,6700,
"Fluid milk: Total availability, million pounds",1956,Whole milk-Plain-Consumed where produced-Million pounds,6360,
"Fluid milk: Total availability, million pounds",1957,Whole milk-Plain-Consumed where produced-Million pounds,5833,
"Fluid milk: Total availability, million pounds",1958,Whole milk-Plain-Consumed where produced-Million pounds,5375,
"Fluid milk: Total availability, million pounds",1959,Whole milk-Plain-Consumed where produced-Million pounds,4890,
"Fluid milk: Total availability, million pounds",1960,Whole milk-Plain-Consumed where produced-Million pounds,4504,
"Fluid milk: Total availability, million pounds",1961,Whole milk-Plain-Consumed where produced-Million pounds,4169,
"Fluid milk: Total availability, million pounds",1962,Whole milk-Plain-Consumed where produced-Million pounds,3856,
"Fluid milk: Total availability, million pounds",1963,Whole milk-Plain-Consumed where produced-Million pounds,3588,
"Fluid milk: Total availability, million pounds",1964,Whole milk-Plain-Consumed where produced-Million pounds,3323,
"Fluid milk: Total availability, million pounds",1965,Whole milk-Plain-Consumed where produced-Million pounds,3089,
"Fluid milk: Total availability, million pounds",1966,Whole milk-Plain-Consumed where produced-Million pounds,3131,
"Fluid milk: Total availability, million pounds",1967,Whole milk-Plain-Consumed where produced-Million pounds,2865,
"Fluid milk: Total availability, million pounds",1968,Whole milk-Plain-Consumed where produced-Million pounds,2616,
"Fluid milk: Total availability, million pounds",1969,Whole milk-Plain-Consumed where produced-Million pounds,2397,
"Fluid milk: Total availability, million pounds",1970,Whole milk-Plain-Consumed where produced-Million pounds,2196,
"Fluid milk: Total availability, million pounds",1971,Whole milk-Plain-Consumed where produced-Million pounds,2117,
"Fluid milk: Total availability, million pounds",1972,Whole milk-Plain-Consumed where produced-Million pounds,1914,
"Fluid milk: Total availability, million pounds",1973,Whole milk-Plain-Consumed where produced-Million pounds,1766,
"Fluid milk: Total availability, million pounds",1974,Whole milk-Plain-Consumed where produced-Million pounds,1643,
